452,Human,Near,Front,Slow,Front,VeryHigh
453,Human,Near,Front,Slow,FrontLeft,VeryHigh
454,Human,Near,Front,Slow,Left,VeryHigh
455,Human,Near,Front,Slow,RearLeft,VeryHigh
456,Human,Near,Front,Slow,Rear,VeryHigh
457,Human,Near,Front,Slow,RearRight,VeryHigh
458,Human,Near,Front,Slow,Right,VeryHigh
459,Human,Near,Front,Slow,FrontRight,VeryHigh
460,Human,Near,Front,Medium,Front,VeryHigh
461,Human,Near,Front,Medium,FrontLeft,VeryHigh
462,Human,Near,Front,Medium,Left,VeryHigh
463,Human,Near,Front,Medium,RearLeft,VeryHigh
464,Human,Near,Front,Medium,Rear,VeryHigh
465,Human,Near,Front,Medium,RearRight,VeryHigh
466,Human,Near,Front,Medium,Right,VeryHigh
467,Human,Near,Front,Medium,FrontRight,VeryHigh
468,Human,Near,Front,Fast,Front,High
469,Human,Near,Front,Fast,FrontLeft,High
470,Human,Near,Front,Fast,Left,VeryHigh
471,Human,Near,Front,Fast,RearLeft,VeryHigh
472,Human,Near,Front,Fast,Rear,VeryHigh
473,Human,Near,Front,Fast,RearRight,VeryHigh
474,Human,Near,Front,Fast,Right,VeryHigh
475,Human,Near,Front,Fast,FrontRight,High
476,Human,Near,FrontLeft,Slow,Front,VeryHigh
477,Human,Near,FrontLeft,Slow,FrontLeft,VeryHigh
478,Human,Near,FrontLeft,Slow,Left,VeryHigh
479,Human,Near,FrontLeft,Slow,RearLeft,VeryHigh
480,Human,Near,FrontLeft,Slow,Rear,VeryHigh
481,Human,Near,FrontLeft,Slow,RearRight,VeryHigh
482,Human,Near,FrontLeft,Slow,Right,VeryHigh
483,Human,Near,FrontLeft,Slow,FrontRight,VeryHigh
484,Human,Near,FrontLeft,Medium,Front,VeryHigh
485,Human,Near,FrontLeft,Medium,FrontLeft,VeryHigh
486,Human,Near,FrontLeft,Medium,Left,VeryHigh
487,Human,Near,FrontLeft,Medium,RearLeft,VeryHigh
488,Human,Near,FrontLeft,Medium,Rear,VeryHigh
489,Human,Near,FrontLeft,Medium,RearRight,VeryHigh
490,Human,Near,FrontLeft,Medium,Right,VeryHigh
491,Human,Near,FrontLeft,Medium,FrontRight,VeryHigh
492,Human,Near,FrontLeft,Fast,Front,High
493,Human,Near,FrontLeft,Fast,FrontLeft,High
494,Human,Near,FrontLeft,Fast,Left,High
495,Human,Near,FrontLeft,Fast,RearLeft,VeryHigh
496,Human,Near,FrontLeft,Fast,Rear,VeryHigh
497,Human,Near,FrontLeft,Fast,RearRight,VeryHigh
498,Human,Near,FrontLeft,Fast,Right,VeryHigh
499,Human,Near,FrontLeft,Fast,FrontRight,VeryHigh
500,Human,Near,Left,Slow,Front,Medium
501,Human,Near,Left,Slow,FrontLeft,Medium
502,Human,Near,Left,Slow,Left,Medium
503,Human,Near,Left,Slow,RearLeft,Medium
504,Human,Near,Left,Slow,Rear,Medium
505,Human,Near,Left,Slow,RearRight,High
506,Human,Near,Left,Slow,Right,High
507,Human,Near,Left,Slow,FrontRight,High
508,Human,Near,Left,Medium,Front,Medium
509,Human,Near,Left,Medium,FrontLeft,Medium
510,Human,Near,Left,Medium,Left,Low
511,Human,Near,Left,Medium,RearLeft,Low
512,Human,Near,Left,Medium,Rear,Low
513,Human,Near,Left,Medium,RearRight,Medium
514,Human,Near,Left,Medium,Right,High
515,Human,Near,Left,Medium,FrontRight,High
516,Human,Near,Left,Fast,Front,Medium
517,Human,Near,Left,Fast,FrontLeft,Low
518,Human,Near,Left,Fast,Left,Low
519,Human,Near,Left,Fast,RearLeft,Low
520,Human,Near,Left,Fast,Rear,Medium
521,Human,Near,Left,Fast,RearRight,Medium
522,Human,Near,Left,Fast,Right,High
523,Human,Near,Left,Fast,FrontRight,High
524,Human,Near,BigRear,Slow,Front,Medium
525,Human,Near,BigRear,Slow,FrontLeft,Low
526,Human,Near,BigRear,Slow,Left,Low
527,Human,Near,BigRear,Slow,RearLeft,Low
528,Human,Near,BigRear,Slow,Rear,Low
529,Human,Near,BigRear,Slow,RearRight,Low
530,Human,Near,BigRear,Slow,Right,Low
531,Human,Near,BigRear,Slow,FrontRight,Low
532,Human,Near,BigRear,Medium,Front,Medium
533,Human,Near,BigRear,Medium,FrontLeft,Medium
534,Human,Near,BigRear,Medium,Left,Low
535,Human,Near,BigRear,Medium,RearLeft,Low
536,Human,Near,BigRear,Medium,Rear,VeryLow
537,Human,Near,BigRear,Medium,RearRight,Low
538,Human,Near,BigRear,Medium,Right,Low
539,Human,Near,BigRear,Medium,FrontRight,Medium
540,Human,Near,BigRear,Fast,Front,Medium
541,Human,Near,BigRear,Fast,FrontLeft,High
542,Human,Near,BigRear,Fast,Left,Medium
543,Human,Near,BigRear,Fast,RearLeft,Low
544,Human,Near,BigRear,Fast,Rear,Low
545,Human,Near,BigRear,Fast,RearRight,Low
546,Human,Near,BigRear,Fast,Right,Medium
547,Human,Near,BigRear,Fast,FrontRight,High
548,Human,Near,Right,Slow,Front,Medium
549,Human,Near,Right,Slow,FrontLeft,Medium
550,Human,Near,Right,Slow,Left,High
551,Human,Near,Right,Slow,RearLeft,Medium
552,Human,Near,Right,Slow,Rear,Medium
553,Human,Near,Right,Slow,RearRight,Medium
554,Human,Near,Right,Slow,Right,Medium
555,Human,Near,Right,Slow,FrontRight,Medium
556,Human,Near,Right,Medium,Front,Medium
557,Human,Near,Right,Medium,FrontLeft,High
558,Human,Near,Right,Medium,Left,High
559,Human,Near,Right,Medium,RearLeft,Medium
560,Human,Near,Right,Medium,Rear,Medium
561,Human,Near,Right,Medium,RearRight,Medium
562,Human,Near,Right,Medium,Right,Low
563,Human,Near,Right,Medium,FrontRight,Medium
564,Human,Near,Right,Fast,Front,High
565,Human,Near,Right,Fast,FrontLeft,High
566,Human,Near,Right,Fast,Left,High
567,Human,Near,Right,Fast,RearLeft,High
568,Human,Near,Right,Fast,Rear,Medium
569,Human,Near,Right,Fast,RearRight,Low
570,Human,Near,Right,Fast,Right,Low
571,Human,Near,Right,Fast,FrontRight,Medium
572,Human,Near,FrontRight,Slow,Front,VeryHigh
573,Human,Near,FrontRight,Slow,FrontLeft,VeryHigh
574,Human,Near,FrontRight,Slow,Left,VeryHigh
575,Human,Near,FrontRight,Slow,RearLeft,VeryHigh
